text,intent
Thái độ nhân viên không tốt. Kém chất lượng.,negative
Nhân viên thân thiện. Phục vụ chu đáo. Dịch vụ tuyệt vời.,positive
Vị trí thuận tiện. Phục vụ chu đáo. Giá cả hợp lý.,positive
Không gian yên tĩnh. Trang thiết bị hiện đại.,positive
Phòng ốc đẹp. Vị trí thuận tiện. Đáng đồng tiền.,positive
Dịch vụ kém. Phòng quá nhỏ.,negative
Trang thiết bị hiện đại. Rất tốt. Ăn sáng ngon. Check-in nhanh chóng.,positive
Phòng quá nhỏ. Giá quá cao. Nhân viên lạnh nhạt. Vị trí xa trung tâm.,negative
Không giống hình ảnh. Giá quá cao.,negative
Giá cả hợp lý. Phục vụ chu đáo. Dịch vụ tuyệt vời.,positive
Trang thiết bị hiện đại. Rất hài lòng. Không gian yên tĩnh. Vị trí thuận tiện.,positive
Thái độ nhân viên không tốt. Rất thất vọng. Giá quá cao. Bữa sáng nghèo nàn.,negative
Dịch vụ kém. Bữa sáng nghèo nàn. Thiếu tiện nghi.,negative
Bữa sáng nghèo nàn. Phòng quá nhỏ. Giá quá cao. Không giống hình ảnh.,negative
Rất tốt. Rất hài lòng.,positive
Phòng quá nhỏ. Thiếu tiện nghi.,negative
Homestay sạch sẽ. Rất tốt.,positive
Phòng quá nhỏ. Thiếu tiện nghi.,negative
Cực kỳ tệ. Thiếu tiện nghi. Kém chất lượng.,negative
Không đáng tiền. Khó chịu. Kém chất lượng.,negative
Khó chịu. Phòng bẩn. Kém chất lượng.,negative
Rất hài lòng. Tuyệt vời. Không gian yên tĩnh. Rất tốt.,positive
Check-in nhanh chóng. Giá cả hợp lý. Chắc chắn sẽ quay lại. Trang thiết bị hiện đại.,positive
Không giống hình ảnh. Check-in chậm. Phòng quá nhỏ.,negative
Đáng đồng tiền. Trang thiết bị hiện đại.,positive
Vị trí xa trung tâm. Không giống hình ảnh. Bữa sáng nghèo nàn. Phòng bẩn.,negative
Tuyệt vời. Ăn sáng ngon. Rất tốt. Rất hài lòng.,positive
Rất thất vọng. Phòng quá nhỏ. Khó chịu.,negative
Phòng có mùi khó chịu. Kém chất lượng.,negative
Kém chất lượng. Cực kỳ tệ. Bữa sáng nghèo nàn.,negative
Ăn sáng ngon. Dịch vụ tuyệt vời.,positive
Homestay sạch sẽ. Nhân viên thân thiện. Không gian yên tĩnh.,positive
Nhân viên thân thiện. Phục vụ chu đáo. Homestay sạch sẽ. Dịch vụ tuyệt vời.,positive
Dịch vụ tuyệt vời. Không gian yên tĩnh.,positive
Không đáng tiền. Không giống hình ảnh. Cực kỳ tệ.,negative
Rất tốt. Nhân viên thân thiện. Đáng đồng tiền.,positive
Thiếu tiện nghi. Phòng bẩn. Rất thất vọng. Vị trí xa trung tâm.,negative
Trang thiết bị hiện đại. Dịch vụ tuyệt vời. Ăn sáng ngon.,positive
Rất hài lòng. Ăn sáng ngon. Không gian yên tĩnh. Nhân viên thân thiện.,positive
Không giống hình ảnh. Kém chất lượng. Khó chịu. Cực kỳ tệ.,negative
Phòng bẩn. Vị trí xa trung tâm. Nhân viên lạnh nhạt.,negative
"Homestay có máy pha cà phê, trà miễn phí.",positive
Bữa sáng nghèo nàn. Giá quá cao. Kém chất lượng.,negative
Ăn sáng ngon. Dịch vụ tuyệt vời. Không gian yên tĩnh. Rất tốt.,positive
Rất thất vọng. Thái độ nhân viên không tốt.,negative
"Homestay có cửa sổ cách âm, không bị ồn.",positive
Tuyệt vời. Không gian yên tĩnh. Trang thiết bị hiện đại. Ăn sáng ngon.,positive
Giá cả hợp lý. Nhân viên thân thiện.,positive
Sạch sẽ và tiện nghi. Ăn sáng ngon. Đáng đồng tiền. Không gian yên tĩnh.,positive
Sạch sẽ và tiện nghi. Nhân viên thân thiện. Homestay sạch sẽ. Chắc chắn sẽ quay lại.,positive
Trang thiết bị hiện đại. Chắc chắn sẽ quay lại. Vị trí thuận tiện. Rất hài lòng.,positive
Phòng có mùi khó chịu. Phòng bẩn. Dịch vụ kém.,negative
Ăn sáng ngon. Rất tốt. Nhân viên thân thiện. Trang thiết bị hiện đại.,positive
Check-in chậm. Khó chịu.,negative
Rất tốt. Trang thiết bị hiện đại.,positive
Check-in chậm. Thiếu tiện nghi. Phòng quá nhỏ. Rất thất vọng.,negative
Rất hài lòng. Ăn sáng ngon. Phục vụ chu đáo. Sạch sẽ và tiện nghi.,positive
Không quay lại lần sau. Giá quá cao.,negative
Trang thiết bị hiện đại. Giá cả hợp lý. Rất tốt. Phục vụ chu đáo.,positive
Dịch vụ tuyệt vời. Phục vụ chu đáo.,positive
Ăn sáng ngon. Phục vụ chu đáo.,positive
Phòng có mùi khó chịu. Vị trí xa trung tâm.,negative
Vị trí xa trung tâm. Khó chịu.,negative
Dịch vụ tốt nhưng Homestay cũ.,negative
Tuyệt vời. Đáng đồng tiền. Trang thiết bị hiện đại. Dịch vụ tuyệt vời.,positive
Nhân viên lạnh nhạt. Rất thất vọng.,negative
Rất tốt. Vị trí thuận tiện.,positive
Vị trí xa trung tâm. Khó chịu. Thiếu tiện nghi.,negative
Không quay lại lần sau. Check-in chậm.,negative
Sạch sẽ và tiện nghi. Không gian yên tĩnh. Tuyệt vời. Giá cả hợp lý.,positive
